Episode,Cumulative Reward,Epsilon,Average Q-Value,Steps
550,82.65071111917496,0.7595198870243695,0.786524614508811,91
560,80.0254322886467,0.7557308208051414,0.7926796451052368,89
570,1.9846454858779907,0.751960657346801,0.798026151862192,6
580,18.034634828567505,0.748209302347916,0.8043501479749999,22
590,36.08587867021561,0.7444766619775032,0.8112417631518372,44
600,7.232778489589691,0.7407626428726788,0.6790655600203783,11
610,54.145526468753815,0.737067152136325,0.6838091436348243,59
620,20.286985337734222,0.7333900973347661,0.691250242807171,24
630,40.58816587924957,0.7297313864954562,0.6959769425367339,45
640,33.49742370843887,0.7260909281046787,0.6986518480753527,40
650,6.366480231285095,0.7224686311052574,0.7022446072955351,10
660,8.4523144364357,0.7188644048942786,0.7062549646417168,13
670,42.359374046325684,0.7152781593208262,0.7116255011841427,48
680,26.26535391807556,0.7117098046837247,0.6659482396788856,31
690,114.43293762207031,0.7081592517292976,0.6719200717436621,124
700,81.77985018491745,0.7046264116491338,0.6755864214858864,90
710,142.67461973428726,0.7011111960778661,0.6740985207458904,149
720,0.3391018509864807,0.6976135170909614,0.6765435509104771,4
730,6.5550402998924255,0.6941332872025221,0.6785159070541106,11
740,15.297536253929138,0.6906704193630966,0.6797844570527944,19
750,30.8256356716156,0.6872248269575028,0.6761629379280328,35
760,24.936179399490356,0.6837964238026608,0.6792981055950574,30
770,25.891882121562958,0.6803851241454388,0.6811558018642561,30
780,10.074322998523712,0.6769908426605066,0.6828092178716784,14
790,82.6747562289238,0.673613494448202,0.6864904232962777,91
800,76.2344024181366,0.6702529950324074,0.6871557194072898,82
810,58.03910166025162,0.6669092603584367,0.6908638775573172,63
820,18.034722208976746,0.6635822067909328,0.6913766551542773,22
830,19.248065888881683,0.660271751111776,0.6583608010856884,23
840,11.835050821304321,0.6569778105180021,0.6622851783919188,16
850,106.31711435317993,0.6537003026197313,0.6662815557298654,111
860,5.123845398426056,0.6504391454381077,0.6688121971574947,9
870,15.868158638477325,0.6471942574032484,0.6708240722076132,20
880,78.42467707395554,0.6439655573522038,0.6765436132938966,87
890,27.12615591287613,0.6407529645269272,0.6776105944321156,32
900,29.02984344959259,0.637556398572254,0.6789410782778134,34
910,30.276361644268036,0.634375779533894,0.6871720733379719,35
920,79.68073147535324,0.6312110278564291,0.6931430923332438,88
930,12.309257566928864,0.6280620643813251,0.7004226858587976,16
940,9.522326946258545,0.6249288103449504,0.7021987816366274,13
950,67.27153408527374,0.6218111873766076,0.7060923397044083,73
960,59.23728346824646,0.6187091174965714,0.7077149447571458,66
970,312.97369384765625,0.6156225231141397,0.7145374564286694,320
980,11.070605635643005,0.6125513270256917,0.7152650159539042,15
990,122.50236934423447,0.6094954524127577,0.715567514753269,127
1000,80.05373865365982,0.606454822840097,0.7212443496264549,87
1010,373.6828519105911,0.6034293622537864,0.724360637620828,384
1020,24.732908606529236,0.6004189949793179,0.7256648608485428,29
1030,22.357104539871216,0.5974236457197061,0.7367384262425846,28
1040,123.0850396156311,0.594443239553604,0.6945855015385062,132
1050,56.24146395921707,0.5914777019334302,0.6948426134856897,61
